generation_id,created_at,cost_total,cost_web_search,cost_cache,cost_file_processing,byok_usage_inference,tokens_prompt,tokens_completion,tokens_reasoning,tokens_cached,model_permaslug,provider_name,variant,cancelled,streamed,user,finish_reason_raw,finish_reason_normalized,generation_time_ms,time_to_first_token_ms,api_key_disabled,api_key_name,app_name
gen-1788483940-G9KItAjKsnShQzk9V6E0,2026-09-04 01:05:40.146,0.002881,,-0.007852,,0,163717,516,37,160256,deepseek/deepseek-v4-flash-20260731,Relace,standard,false,true,,tool_calls,tool_calls,4467,929,false,hermes-ppn,Hermes Agent
gen-1788483894-H9bcuoRxTBls3WxgXUtO,2026-09-04 01:04:54.910,0.004512,,-0.006422,,0,160264,2875,2380,131072,deepseek/deepseek-v4-flash-20260731,Relace,standard,false,true,,tool_calls,tool_calls,44823,2243,false,hermes-ppn,Hermes Agent
gen-1788483880-iiyapKPpljRZNGm5on8Y,2026-09-04 01:04:40.335,0.002753,,-0.007814,,0,159743,1027,283,159488,deepseek/deepseek-v4-flash-20260731,Relace,standard,false,true,,stop,stop,13840,1134,false,hermes-ppn,Hermes Agent
gen-1788483875-Ro2i2qlSKcMxdyfJkTI4,2026-09-04 01:04:35.153,0.001779,,,,0,552,364,362,0,google/gemini-3.6-flash-20260721,Google,standard,false,true,,STOP,stop,3089,1585,false,hermes-ppn,Hermes Agent
gen-1788483865-2DsbkTTHAECR4tqpVDsB,2026-09-04 01:04:25.102,0.001762,,,,0,4264,758,714,0,openai/gpt-5.6-luna-pro-20260709,Azure,standard,false,true,,completed,stop,9195,8198,false,hermes-ppn,Hermes Agent
gen-1788483859-mk6r5CP3KcWjxvi84s2I,2026-09-04 01:04:19.627,0.002698,,-0.007727,,0,159120,462,30,157696,deepseek/deepseek-v4-flash-20260731,Relace,standard,false,true,,tool_calls,tool_calls,5255,1105,false,hermes-ppn,Hermes Agent
gen-1788483843-26QeQQE123mV2zetflKc,2026-09-04 01:04:03.483,0.002709,,-0.007589,,0,157478,348,89,154880,deepseek/deepseek-v4-flash-20260731,Relace,standard,false,true,,tool_calls,tool_calls,13427,1530,false,hermes-ppn,Hermes Agent
gen-1788483840-r8s9kHhvYo6znVDev1eE,2026-09-04 01:04:00.833,0.002563,,-0.007526,,0,154794,158,62,153600,deepseek/deepseek-v4-flash-20260731,Relace,standard,false,true,,tool_calls,tool_calls,2077,1042,false,hermes-ppn,Hermes Agent
gen-1788483830-QZJs5LLcuxr4p5Xe1QMW,2026-09-04 01:03:50.913,0.001051,,,,0,3410,308,264,0,openai/gpt-5.6-luna-pro-20260709,Azure,standard,false,true,,completed,stop,8912,7864,false,hermes-ppn,Hermes Agent
gen-1788483826-QppeE3FJQa7mojBJ1W79,2026-09-04 01:03:46.124,0.002532,,-0.007501,,0,153735,228,0,153088,deepseek/deepseek-v4-flash-20260731,Relace,standard,false,true,,tool_calls,tool_calls,4415,2423,false,hermes-ppn,Hermes Agent
